observed_at_utc,year,season,wind_speed_ms,wind_direction_deg_true,line_azimuth_deg,wind_perpendicular_ms,air_temperature_c,global_solar_radiation_wm2,convective_heat_loss_wm,radiative_heat_loss_wm,solar_heat_gain_wm,net_heat_loss_wm,rating_multiplier
2024-08-10 07:00:00+00:00,2024,summer,6.173,240.0,22.33,3.7723985286071735,15.1,130.0,227.89536040898574,19.838804720445037,1.859,245.87516512943077,1.560846396585343
2024-08-10 08:00:00+00:00,2024,summer,6.173,240.0,22.33,3.7723985286071735,15.9,229.0,224.85168280753015,19.642756406105658,3.2747,241.21973921363582,1.5459991670811424
2024-08-10 09:00:00+00:00,2024,summer,7.717,250.0,22.33,5.705012995399625,16.1,208.0,289.3616033243829,19.59348927839023,2.9744,305.9806926027731,1.7412047589459643
2024-08-10 10:00:00+00:00,2024,summer,8.231,250.0,22.33,6.085002198410563,16.9,334.0,297.0354436431314,19.395396328296854,4.7762,311.6546399714282,1.75727460270589
2024-08-10 11:00:00+00:00,2024,summer,7.202,270.0,22.33,6.66192856509544,16.8,473.0,314.67828318699384,19.420247771382662,6.7639000000000005,327.3346309583765,1.8009382045154037
2024-08-10 12:00:00+00:00,2024,summer,6.688,260.0,22.33,5.651239155411478,17.0,445.0,283.27731472906123,19.370519167956157,6.3635,296.2843338970174,1.7133937490352584
2024-08-10 13:00:00+00:00,2024,summer,7.202,260.0,22.33,6.085559868013377,16.2,436.0,300.6312096906366,19.568817359993037,6.2348,313.9652270506296,1.7637767327478375
2024-08-10 14:00:00+00:00,2024,summer,8.231,270.0,22.33,7.613764790238902,17.2,462.0,339.402711335104,19.320687624559913,6.6066,352.1167989596639,1.86786810512782
2024-08-10 15:00:00+00:00,2024,summer,7.202,280.0,22.33,7.03587793382559,17.2,105.0,323.24331392083553,19.320687624559913,1.5015,341.06250154539543,1.8383145320389331
2024-08-10 16:00:00+00:00,2024,summer,7.202,280.0,22.33,7.03587793382559,17.0,141.0,324.3618028963402,19.370519167956157,2.0163,341.71602206429634,1.8400749151263334
2024-08-10 17:00:00+00:00,2024,summer,6.688,280.0,22.33,6.533733910222931,16.6,101.0,311.99068262778263,19.46987357670326,1.4443,330.0162562044859,1.8083000754336922
2024-08-10 18:00:00+00:00,2024,summer,6.688,280.0,22.33,6.533733910222931,15.4,42.0,318.40145007903845,19.765477580452682,0.6006,337.56632765949115,1.8288681360118855
2024-08-10 19:00:00+00:00,2024,summer,5.659,280.0,22.33,5.528468929119552,15.1,36.0,288.6128337986647,19.838804720445037,0.5148,307.93683851910976,1.74676168498876
2024-08-10 20:00:00+00:00,2024,summer,4.63,270.0,22.33,4.2828005076911815,14.6,0.0,248.54426823988976,19.960508874188154,0.0,268.5047771140779,1.6310934444174614
2024-08-10 21:00:00+00:00,2024,summer,4.116,280.0,22.33,4.021059924413514,14.4,0.0,239.83584196616084,20.009013235380735,0.0,259.8448552015416,1.6045745329936287
2024-08-10 22:00:00+00:00,2024,summer,3.601,280.0,22.33,3.517938966912795,13.9,0.0,222.6416362335314,20.12983211863795,0.0,242.77146835216934,1.5509637820612994
2024-08-10 23:00:00+00:00,2024,summer,3.601,290.0,22.33,3.5980228559312364,14.0,0.0,225.3908810801187,20.105718788248662,0.0,245.49659986836735,1.5596443438309584
2024-08-11 00:00:00+00:00,2024,summer,1.543,170.0,22.33,0.8251884600038671,12.9,0.0,107.81678221855687,20.369582974770935,0.0,128.1863651933278,1.1269995699053241
2024-08-11 01:00:00+00:00,2024,summer,1.543,180.0,22.33,0.5862482627365435,12.4,0.0,92.67900110320083,20.488519327396272,0.0,113.16752043059711,1.0589214214854539
2024-08-11 02:00:00+00:00,2024,summer,2.058,120.0,22.33,2.0395875244394617,12.0,0.0,166.75093706767282,20.58321964626876,0.0,187.33415671394158,1.3624209671761822
2024-08-11 03:00:00+00:00,2024,summer,3.087,110.0,22.33,3.0844478079032847,11.9,0.0,211.9825018789136,20.606832543192034,0.0,232.58933442210565,1.5180907420199112
2024-08-11 04:00:00+00:00,2024,summer,3.087,120.0,22.33,3.059381286659193,11.6,0.0,211.9189684939539,20.677522274164204,0.0,232.59649076811812,1.5181140962702047
2024-08-11 05:00:00+00:00,2024,summer,2.572,110.0,22.33,2.5698735866301416,11.2,0.0,191.47194629968428,20.77142832603801,0.0,212.24337462572228,1.450173300333212
2024-08-11 06:00:00+00:00,2024,summer,2.572,110.0,22.33,2.5698735866301416,11.6,67.0,190.27149522570508,20.677522274164204,0.9581000000000001,209.99091749986928,1.4424577099505178
2024-08-11 07:00:00+00:00,2024,summer,3.087,110.0,22.33,3.0844478079032847,12.3,222.0,210.63871422833412,20.512231751676453,3.1746,227.9763459800106,1.5029610578528423
2024-08-11 08:00:00+00:00,2024,summer,3.087,120.0,22.33,3.059381286659193,14.3,325.0,202.8940281953155,20.033227493424036,4.6475,218.27975568873953,1.4706507992810351
2024-08-11 09:00:00+00:00,2024,summer,5.144,110.0,22.33,5.139747173260283,16.5,212.0,269.4491863873389,19.494647974379557,3.0316,285.91223436171845,1.6831359786152598
2024-08-11 10:00:00+00:00,2024,summer,6.173,110.0,22.33,6.167896442561378,18.2,417.0,292.8276297207529,19.069980835950695,5.9631,305.9345105567036,1.741073352888731
2024-08-11 11:00:00+00:00,2024,summer,4.63,100.0,22.33,4.523203948016174,20.5,123.0,231.96434791498862,18.48347847267293,1.7589000000000001,248.68892638766155,1.5697520450595162
